YEAR,MONTH,NORTH_AMERICA,EUROPE,EU,EU15,OTHER_EU,OTHER_COUNTRIES,WORLD_TOTAL,SEASONALLY_ADJUSTED_WORLD_TOTAL,YEAR_CLEANED,MONTH_CLEANED,DAY_CLEANED,DATE_CLEANED,OLD_DATE,IF_ERROR,M_OR_P
2019,January,330000.00,1936000.00,1803000.00,1483000.00,324000.00,563000.00,2830000.00,3260000.00,2019,1,1,01/01/2019,01/01/1900,FALSE,
2019,February,213000.00,1742000.00,1607000.00,1272000.00,332000.00,418000.00,2372000.00,3150000.00,2019,2,1,01/02/2019,01/01/1900,FALSE,0
2019,March,356000.00,2365000.00,2133000.00,1701000.00,430000.00,407000.00,3129000.00,3570000.00,2019,3,1,01/03/2019,01/01/1900,FALSE,0
2019,April,319000.00,2417000.00,2192000.00,1854000.00,345000.00,462000.00,3199000.00,3200000.00,2019,4,1,01/04/2019,01/01/1900,FALSE,0
2019,May,570000.00,2219000.00,2039000.00,1630000.00,399000.00,650000.00,3438000.00,3210000.00,2019,5,1,01/05/2019,01/01/1900,FALSE,0
2019,June,648000.00,2243000.00,2041000.00,1703000.00,341000.00,836000.00,3727000.00,3470000.00,2019,6,1,01/06/2019,01/01/1900,FALSE,0
2019,July,696000.00,2453000.00,2188000.00,1802000.00,386000.00,1006000.00,4155000.00,3370000.00,2019,7,1,01/07/2019,01/01/1900,FALSE,0
2019,August,593000.00,2707000.00,2499000.00,2083000.00,418000.00,1118000.00,4418000.00,3530000.00,2019,8,1,01/08/2019,01/01/1900,FALSE,0
2019,September,456000.00,1996000.00,1825000.00,1505000.00,319000.00,840000.00,3292000.00,3360000.00,2019,9,1,01/09/2019,01/01/1900,FALSE,0
2019,October,457000.00,2537000.00,2289000.00,1910000.00,380000.00,737000.00,3731000.00,3530000.00,2019,10,1,01/10/2019,01/01/1900,FALSE,0
2019,November,360000.00,2209000.00,1978000.00,1572000.00,405000.00,552000.00,3121000.00,3360000.00,2019,11,1,01/11/2019,01/01/1900,FALSE,0
2019,December,374000.00,2469000.00,2235000.00,1814000.00,421000.00,602000.00,3445000.00,3790000.00,2019,12,1,01/12/2019,01/01/1900,FALSE,0
2020,January,337000.00,2032000.00,1827000.00,1461000.00,364000.00,667000.00,3036000.00,3480000.00,2020,1,1,01/01/2020,01/01/1900,FALSE,0
2020,February,249000.00,1869000.00,1697000.00,1316000.00,372000.00,394000.00,2512000.00,3310000.00,2020,2,1,01/02/2020,01/01/1900,FALSE,0
2020,March,208000.00,1025000.00,948000.00,826000.00,132000.00,213000.00,1446000.00,1720000.00,2020,3,1,01/03/2020,01/01/1900,FALSE,0
2020,April,7000.00,74000.00,,,,13000.00,95000.00,,2020,4,1,01/04/2020,01/01/1900,FALSE,0
2020,May,11000.00,98000.00,,,,17000.00,127000.00,,2020,5,1,01/05/2020,01/01/1900,FALSE,0
2020,June,22000.00,126000.00,,,,29000.00,176000.00,,2020,6,1,01/06/2020,01/01/1900,FALSE,0
2020,July,67000.00,463000.00,,,,102000.00,633000.00,,2020,7,1,01/07/2020,01/01/1900,FALSE,0
2020,August,77000.00,761000.00,,,,155000.00,993000.00,,2020,8,1,01/08/2020,01/01/1900,FALSE,0
2020,September,63000.00,529000.00,,,,105000.00,696000.00,,2020,9,1,01/09/2020,01/01/1900,FALSE,0
2020,October,49000.00,429000.00,,,,92000.00,570000.00,,2020,10,1,01/10/2020,01/01/1900,FALSE,0
2020,November,39000.00,267000.00,,,,52000.00,358000.00,,2020,11,1,01/11/2020,01/01/1900,FALSE,0
2020,December,42000.00,313000.00,,,,103000.00,458000.00,,2020,12,1,01/12/2020,01/01/1900,FALSE,0
2021,January,13000.00,38000.00,35000.00,28000.00,7000.00,13000.00,65000.00,,2021,1,1,01/01/2021,01/01/1900,FALSE,0
2021,February,7000.00,39000.00,35000.00,21000.00,15000.00,22000.00,69000.00,,2021,2,1,01/02/2021,01/01/1900,FALSE,0
2021,March,8000.00,38000.00,34000.00,21000.00,13000.00,16000.00,61000.00,,2021,3,1,01/03/2021,01/01/1900,FALSE,0
2021,April,9000.00,43000.00,37000.00,28000.00,9000.00,14000.00,65000.00,,2021,4,1,01/04/2021,01/01/1900,FALSE,0
2021,May,14000.00,57000.00,48000.00,33000.00,16000.00,15000.00,86000.00,,2021,5,1,01/05/2021,01/01/1900,FALSE,0
2021,June,23000.00,83000.00,72000.00,55000.00,17000.00,20000.00,126000.00,,2021,6,1,01/06/2021,01/01/1900,FALSE,0
2021,July,73000.00,189000.00,167000.00,139000.00,28000.00,69000.00,331000.00,,2021,7,1,01/07/2021,01/01/1900,FALSE,0
2021,August,101000.00,584000.00,537000.00,412000.00,124000.00,75000.00,759000.00,,2021,8,1,01/08/2021,01/01/1900,FALSE,0
2021,September,115000.00,756000.00,691000.00,527000.00,164000.00,78000.00,949000.00,,2021,9,1,01/09/2021,01/01/1900,FALSE,0
2021,October,116000.00,871000.00,803000.00,682000.00,121000.00,116000.00,1103000.00,,2021,10,1,01/10/2021,01/01/1900,FALSE,0
2021,November,185000.00,1258000.00,1147000.00,951000.00,196000.00,168000.00,1610000.00,,2021,11,1,01/11/2021,01/01/1900,FALSE,0
2021,December,120000.00,775000.00,703000.00,521000.00,182000.00,144000.00,1039000.00,,2021,12,1,01/12/2021,01/01/1900,FALSE,0
2022,January,87000.00,584000.00,520000.00,385000.00,129000.00,168000.00,839000.00,,2022,1,1,01/01/2022,01/01/1900,FALSE,0
2022,February,99000.00,823000.00,761000.00,617000.00,145000.00,122000.00,1045000.00,,2022,2,1,01/02/2022,01/01/1900,FALSE,0
2022,March,229000.00,1413000.00,1289000.00,1062000.00,232000.00,217000.00,1860000.00,,2022,3,1,01/03/2022,01/01/1900,FALSE,0
2022,April,338000.00,1634000.00,1459000.00,1253000.00,211000.00,280000.00,2252000.00,,2022,4,1,01/04/2022,01/01/1900,FALSE,0
2022,May,509000.00,1828000.00,1668000.00,1370000.00,291000.00,391000.00,2728000.00,,2022,5,1,01/05/2022,01/01/1900,FALSE,0
2022,June,741000.00,1727000.00,1572000.00,1330000.00,243000.00,509000.00,2977000.00,,2022,6,1,01/06/2022,01/01/1900,FALSE,0
2022,July,793000.00,2053000.00,1804000.00,1484000.00,320000.00,599000.00,3445000.00,,2022,7,1,01/07/2022,01/01/1900,FALSE,0
2022,August,716000.00,2202000.00,2026000.00,1725000.00,305000.00,626000.00,3545000.00,,2022,8,1,01/08/2022,01/01/1900,FALSE,0
2022,September,648000.00,1830000.00,1642000.00,1334000.00,306000.00,479000.00,2956000.00,,2022,9,1,01/09/2022,01/01/1900,FALSE,0
2022,October,560000.00,2269000.00,1993000.00,1671000.00,324000.00,493000.00,3322000.00,,2022,10,1,01/10/2022,01/01/1900,FALSE,0
2022,November,370000.00,2483000.00,2270000.00,1805000.00,463000.00,386000.00,3238000.00,,2022,11,1,01/11/2022,01/01/1900,FALSE,0
2022,December,394000.00,2135000.00,1956000.00,1586000.00,369000.00,509000.00,3038000.00,,2022,12,1,01/12/2022,01/01/1900,FALSE,0
2023,January P,373000.00,1973000.00,1807000.00,1446000.00,362000.00,555000.00,2900000.00,,2023,1,1,01/01/2023,01/01/1900,FALSE,P
2023,February P,217000.00,1666000.00,1512000.00,1215000.00,298000.00,310000.00,2193000.00,,2023,2,1,01/02/2023,01/01/1900,FALSE,P
2023,March P,406000.00,1829000.00,1649000.00,1296000.00,352000.00,363000.00,2598000.00,,2023,3,1,01/03/2023,01/01/1900,FALSE,P
2023,April P,497000.00,2196000.00,1990000.00,1710000.00,281000.00,425000.00,3118000.00,,2023,4,1,01/04/2023,01/01/1900,FALSE,P
2023,May P,683000.00,2065000.00,1859000.00,1480000.00,378000.00,545000.00,3292000.00,,2023,5,1,01/05/2023,01/01/1900,FALSE,P
2023,June P,771000.00,1976000.00,1805000.00,1490000.00,316000.00,724000.00,3472000.00,,2023,6,1,01/06/2023,01/01/1900,FALSE,P
2023,July M,730000.00,2360000.00,2120000.00,1720000.00,400000.00,790000.00,3880000.00,,2023,7,1,01/07/2023,01/01/1900,FALSE,M
2023,August M,640000.00,2280000.00,2160000.00,1760000.00,400000.00,760000.00,3680000.00,,2023,8,1,01/08/2023,01/01/1900,FALSE,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,