YEAR,MONTH,NORTH_AMERICA,EUROPE,EU,EU15,OTHER_EU,OTHER_COUNTRIES,WORLD_TOTAL,SEASONALLY_ADJUSTED_WORLD_TOTAL,YEAR_CLEANED,MONTH_CLEANED,DAY_CLEANED,DATE_CLEANED,OLD_DATE,M_OR_P
Year,Month,North_America,Europe,EU,EU15,Other_EU,Other_Countries,World_Total,Seasonally_Adjusted_World_Total,year_cleaned,month_cleaned,day_cleaned,date_cleaned,Old_date,M_or_P
2019,January,"435,000","4,207,000","3,851,000","2,999,000","855,000","1,507,000","6,149,000","7,830,000",2019,1,1,01/01/2019,January 2019,
2019,February,"231,000","4,210,000","3,816,000","3,230,000","585,000","1,096,000","5,538,000","7,680,000",2019,2,1,01/02/2019,February 2019,0
2019,March,"204,000","5,096,000","4,699,000","4,019,000","678,000","1,172,000","6,473,000","8,300,000",2019,3,1,01/03/2019,March 2019,0
2019,April,"493,000","6,252,000","5,674,000","4,791,000","883,000","1,662,000","8,406,000","8,010,000",2019,4,1,01/04/2019,April 2019,0
2019,May,"565,000","6,510,000","6,142,000","5,192,000","950,000","1,153,000","8,228,000","8,120,000",2019,5,1,01/05/2019,May 2019,0
2019,June,"558,000","7,536,000","7,099,000","6,015,000","1,084,000","1,032,000","9,125,000","7,760,000",2019,6,1,01/06/2019,June 2019,0
2019,July,"491,000","7,039,000","6,568,000","5,492,000","1,075,000","1,117,000","8,647,000","7,690,000",2019,7,1,01/07/2019,July 2019,0
2019,August,"685,000","9,346,000","8,597,000","7,254,000","1,344,000","1,597,000","11,628,000","7,780,000",2019,8,1,01/08/2019,August 2019,0
2019,September,"649,000","7,708,000","7,147,000","6,055,000","1,093,000","1,368,000","9,725,000","7,620,000",2019,9,1,01/09/2019,September 2019,0
2019,October,"532,000","6,685,000","6,056,000","5,143,000","909,000","1,218,000","8,434,000","7,520,000",2019,10,1,01/10/2019,October 2019,0
2019,November,"345,000","4,216,000","3,912,000","3,169,000","749,000","1,122,000","5,683,000","7,440,000",2019,11,1,01/11/2019,November 2019,0
2019,December,"376,000","3,666,000","3,395,000","2,876,000","516,000","1,008,000","5,050,000","7,370,000",2019,12,1,01/12/2019,December 2019,0
2020,January,"340,000","3,993,000","3,697,000","2,907,000","792,000","1,086,000","5,419,000","7,050,000",2020,1,1,01/01/2020,January 2020,0
2020,February,"300,000","3,760,000","3,466,000","2,884,000","582,000","1,172,000","5,232,000","7,090,000",2020,2,1,01/02/2020,February 2020,0
2020,March,"204,000","2,212,000","1,957,000","1,672,000","284,000","824,000","3,239,000","5,240,000",2020,3,1,01/03/2020,March 2020,0
2020,April,"12,000","145,000",,,,"62,000","219,000",,2020,4,1,01/04/2020,April 2020,0
2020,May,"13,000","220,000",,,,"42,000","275,000",,2020,5,1,01/05/2020,May 2020,0
2020,June,"18,000","379,000",,,,"48,000","445,000",,2020,6,1,01/06/2020,June 2020,0
2020,July,"17,000","1,287,000",,,,"56,000","1,360,000",,2020,7,1,01/07/2020,July 2020,0
2020,August,"36,000","2,579,000",,,,"144,000","2,759,000",,2020,8,1,01/08/2020,August 2020,0
2020,September,"30,000","1,923,000",,,,"119,000","2,072,000",,2020,9,1,01/09/2020,September 2020,0
2020,October,"27,000","1,192,000",,,,"150,000","1,369,000",,2020,10,1,01/10/2020,October 2020,0
2020,November,"22,000","490,000",,,,"146,000","659,000",,2020,11,1,01/11/2020,November 2020,0
2020,December,"38,000","510,000",,,,"231,000","779,000",,2020,12,1,01/12/2020,December 2020,0
2021,January,"2,000","73,000","59,000","35,000","23,000","48,000","124,000",,2021,1,1,01/01/2021,January 2021,0
2021,February,"8,000","144,000","118,000","53,000","65,000","141,000","292,000",,2021,2,1,01/02/2021,February 2021,0
2021,March,"10,000","179,000","142,000","79,000","62,000","168,000","357,000",,2021,3,1,01/03/2021,March 2021,0
2021,April,"13,000","147,000","121,000","64,000","57,000","100,000","260,000",,2021,4,1,01/04/2021,April 2021,0
2021,May,"11,000","217,000","194,000","118,000","76,000","59,000","287,000",,2021,5,1,01/05/2021,May 2021,0
2021,June,"13,000","369,000","334,000","227,000","106,000","71,000","453,000",,2021,6,1,01/06/2021,June 2021,0
2021,July,"39,000","1,281,000","1,208,000","954,000","254,000","113,000","1,432,000",,2021,7,1,01/07/2021,July 2021,0
2021,August,"57,000","2,696,000","2,527,000","1,906,000","622,000","291,000","3,044,000",,2021,8,1,01/08/2021,August 2021,0
2021,September,"56,000","3,281,000","3,099,000","2,367,000","732,000","296,000","3,633,000",,2021,9,1,01/09/2021,September 2021,0
2021,October,"59,000","2,813,000","2,593,000","2,192,000","400,000","391,000","3,263,000",,2021,10,1,01/10/2021,October 2021,0
2021,November,"136,000","2,277,000","2,062,000","1,695,000","368,000","420,000","2,833,000",,2021,11,1,01/11/2021,November 2021,0
2021,December,"212,000","2,094,000","1,947,000","1,638,000","308,000","562,000","2,868,000",,2021,12,1,01/12/2021,December 2021,0
2022,January,"161,000","1,725,000","1,498,000","1,198,000","298,000","673,000","2,558,000",,2022,1,1,01/01/2022,January 2022,0
2022,February,"113,000","2,312,000","2,053,000","1,693,000","359,000","561,000","2,985,000",,2022,2,1,01/02/2022,February 2022,0
2022,March,"186,000","3,053,000","2,779,000","2,401,000","380,000","795,000","4,034,000",,2022,3,1,01/03/2022,March 2022,0
2022,April,"315,000","4,796,000","4,415,000","3,747,000","666,000","1,122,000","6,234,000",,2022,4,1,01/04/2022,April 2022,0
2022,May,"373,000","5,036,000","4,641,000","3,981,000","660,000","965,000","6,374,000",,2022,5,1,01/05/2022,May 2022,0
2022,June,"307,000","6,632,000","6,119,000","5,325,000","796,000","876,000","7,815,000",,2022,6,1,01/06/2022,June 2022,0
2022,July,"438,000","5,935,000","5,423,000","4,623,000","801,000","767,000","7,139,000",,2022,7,1,01/07/2022,July 2022,0
2022,August,"570,000","7,497,000","6,857,000","5,808,000","1,049,000","1,295,000","9,361,000",,2022,8,1,01/08/2022,August 2022,0
2022,September,"418,000","6,991,000","6,353,000","5,397,000","956,000","1,043,000","8,452,000",,2022,9,1,01/09/2022,September 2022,0
2022,October,"488,000","5,990,000","5,484,000","4,697,000","789,000","940,000","7,418,000",,2022,10,1,01/10/2022,October 2022,0
2022,November,"230,000","3,368,000","3,103,000","2,581,000","520,000","892,000","4,491,000",,2022,11,1,01/11/2022,November 2022,0
2022,December,"352,000","2,763,000","2,579,000","2,179,000","400,000","974,000","4,089,000",,2022,12,1,01/12/2022,December 2022,0
2023,January P,"296,000","3,735,000","3,367,000","2,687,000","674,000","1,322,000","5,352,000",,2023,1,1,01/01/2023,January P 2023,P
2023,February P,"217,000","3,405,000","3,068,000","2,621,000","450,000","1,095,000","4,718,000",,2023,2,1,01/02/2023,February P 2023,P
2023,March P,"229,000","3,790,000","3,533,000","3,011,000","525,000","1,186,000","5,205,000",,2023,3,1,01/03/2023,March P 2023,P
2023,April P,"441,000","5,432,000","4,943,000","4,155,000","766,000","1,458,000","7,331,000",,2023,4,1,01/04/2023,April P 2023,P
2023,May P,"344,000","5,984,000","5,488,000","4,691,000","815,000","1,188,000","7,516,000",,2023,5,1,01/05/2023,May P 2023,P
2023,June P,"371,000","6,974,000","6,431,000","5,565,000","870,000","1,180,000","8,525,000",,2023,6,1,01/06/2023,June P 2023,P
2023,July M,"310,000","6,290,000","5,710,000","4,950,000","730,000","810,000","7,410,000",,2023,7,1,01/07/2023,July M 2023,M
2023,August M,"370,000","7,260,000","6,460,000","5,460,000","980,000","1,140,000","8,760,000",,2023,8,1,01/08/2023,August M 2023,M
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,